YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
30000,0,0,Partial College,1,2-5 Miles,38,0
30000,0,0,Partial College,1,2-5 Miles,38,0
30000,0,0,Partial College,1,2-5 Miles,37,0
30000,0,0,Partial College,1,0-1 Miles,37,0
20000,0,0,High School,1,2-5 Miles,38,1
10000,0,0,Partial High School,2,0-1 Miles,40,1
20000,0,0,High School,1,1-2 Miles,39,1
20000,0,0,High School,1,2-5 Miles,38,1
30000,0,0,Partial College,1,2-5 Miles,40,0
40000,1,1,Bachelors,0,1-2 Miles,40,0
40000,1,1,Bachelors,0,0-1 Miles,40,1
60000,4,0,Graduate Degree,0,0-1 Miles,55,0
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
60000,4,0,Graduate Degree,0,1-2 Miles,55,0
40000,4,4,Partial College,2,0-1 Miles,43,0
40000,4,4,Partial College,2,0-1 Miles,43,0
50000,0,0,Graduate Degree,0,0-1 Miles,42,0
170000,1,2,Graduate Degree,4,0-1 Miles,74,0
10000,1,0,Graduate Degree,0,0-1 Miles,53,0
10000,1,0,Bachelors,0,0-1 Miles,53,0
10000,1,0,Bachelors,0,0-1 Miles,54,0
10000,1,0,Bachelors,0,0-1 Miles,54,0
20000,1,0,Graduate Degree,0,0-1 Miles,54,0
20000,1,0,Graduate Degree,0,0-1 Miles,80,0
30000,1,0,Graduate Degree,0,0-1 Miles,79,0
30000,4,0,Graduate Degree,0,0-1 Miles,52,0
30000,4,0,Graduate Degree,0,0-1 Miles,53,0
10000,1,0,Bachelors,0,0-1 Miles,57,0
10000,1,0,Bachelors,0,0-1 Miles,57,0
10000,1,0,Partial College,0,0-1 Miles,58,0
20000,1,0,Bachelors,0,0-1 Miles,58,1
20000,1,0,Bachelors,0,0-1 Miles,58,1
10000,2,0,Partial College,0,0-1 Miles,60,1
10000,2,0,Partial College,1,0-1 Miles,60,1
10000,2,0,Partial College,1,0-1 Miles,60,0
20000,1,0,Bachelors,0,0-1 Miles,77,0
20000,1,0,Bachelors,0,0-1 Miles,77,0
20000,1,0,Bachelors,0,0-1 Miles,76,0
30000,1,0,Graduate Degree,0,0-1 Miles,77,0
10000,2,0,Bachelors,1,2-5 Miles,76,0
10000,2,0,Bachelors,1,2-5 Miles,76,0
10000,2,0,Bachelors,1,2-5 Miles,75,0
20000,1,0,Bachelors,0,0-1 Miles,75,0
20000,1,0,Bachelors,0,0-1 Miles,74,1
20000,1,0,Bachelors,0,0-1 Miles,75,1
10000,2,0,Partial College,1,0-1 Miles,74,1
10000,2,0,Partial College,1,2-5 Miles,73,0
30000,1,0,Bachelors,0,0-1 Miles,74,0
30000,1,0,Bachelors,0,0-1 Miles,74,0
10000,3,0,Partial College,1,0-1 Miles,73,0
30000,1,0,Bachelors,0,0-1 Miles,73,0
30000,1,0,Bachelors,0,0-1 Miles,73,0
30000,1,0,Bachelors,0,0-1 Miles,73,0
40000,1,0,Graduate Degree,0,0-1 Miles,73,0
10000,0,0,Partial College,1,0-1 Miles,35,1
10000,0,0,Partial College,1,0-1 Miles,35,1
10000,0,0,Partial College,1,2-5 Miles,35,1
10000,0,0,Partial College,1,0-1 Miles,35,1
10000,0,0,Partial College,1,0-1 Miles,35,1
10000,0,0,Partial College,1,0-1 Miles,36,1
10000,0,0,Partial College,1,2-5 Miles,36,1
10000,0,0,Partial College,1,2-5 Miles,36,1
10000,0,0,Partial College,1,0-1 Miles,35,1
10000,0,0,Partial College,1,2-5 Miles,37,1
10000,0,0,Partial College,1,2-5 Miles,37,1
10000,0,0,Partial College,1,0-1 Miles,37,1
10000,0,0,High School,2,0-1 Miles,38,0
10000,1,1,High School,0,2-5 Miles,39,1
10000,1,1,High School,0,2-5 Miles,39,1
10000,1,1,High School,0,2-5 Miles,36,1
10000,1,1,High School,0,1-2 Miles,36,1
20000,0,0,Bachelors,0,0-1 Miles,37,0
10000,1,1,High School,0,1-2 Miles,38,1
20000,0,0,Partial College,0,0-1 Miles,38,1
30000,1,0,Bachelors,0,0-1 Miles,72,0
30000,4,0,Graduate Degree,0,0-1 Miles,54,0
30000,4,0,Graduate Degree,0,0-1 Miles,54,0
30000,4,0,Graduate Degree,0,0-1 Miles,54,0
30000,4,0,Graduate Degree,0,0-1 Miles,54,0
30000,3,0,Graduate Degree,0,0-1 Miles,54,0
30000,3,0,Graduate Degree,0,0-1 Miles,54,0
20000,1,1,Partial College,0,2-5 Miles,55,0
30000,3,0,Graduate Degree,0,0-1 Miles,55,0
20000,2,0,Partial College,1,0-1 Miles,55,1
30000,1,0,Graduate Degree,0,0-1 Miles,57,0
30000,3,0,Graduate Degree,0,0-1 Miles,55,0
30000,3,0,Graduate Degree,0,0-1 Miles,54,0
30000,3,0,Bachelors,0,0-1 Miles,55,0
30000,3,0,Bachelors,0,0-1 Miles,55,0
30000,3,0,Bachelors,0,0-1 Miles,55,0
40000,3,0,Graduate Degree,0,0-1 Miles,55,0
40000,3,0,Graduate Degree,0,0-1 Miles,54,1
30000,0,0,Bachelors,0,0-1 Miles,55,1
30000,0,0,Bachelors,0,0-1 Miles,55,1
30000,1,0,Bachelors,0,0-1 Miles,57,0
20000,0,0,Partial College,1,2-5 Miles,45,0
10000,2,2,High School,0,0-1 Miles,46,1
30000,0,0,Bachelors,0,0-1 Miles,45,1
30000,0,0,Bachelors,0,0-1 Miles,45,1
10000,2,2,High School,1,0-1 Miles,46,1
20000,0,0,Partial College,1,0-1 Miles,45,0
20000,0,0,Partial College,1,1-2 Miles,45,0
30000,0,0,Bachelors,0,0-1 Miles,46,1
40000,0,0,Graduate Degree,0,0-1 Miles,46,1
40000,0,0,Graduate Degree,0,0-1 Miles,46,1
40000,0,0,Graduate Degree,0,0-1 Miles,45,1
40000,0,0,Graduate Degree,0,0-1 Miles,46,1
10000,3,0,Partial College,2,0-1 Miles,63,1
20000,2,0,Partial College,1,2-5 Miles,62,1
20000,2,0,Partial College,1,0-1 Miles,63,0
20000,2,0,Partial College,1,1-2 Miles,64,0
20000,1,1,Partial College,0,0-1 Miles,47,0
20000,1,1,Partial College,0,2-5 Miles,46,0
20000,1,1,Partial College,0,0-1 Miles,46,0
80000,4,2,Partial College,1,10+ Miles,60,1
70000,5,1,High School,2,10+ Miles,71,1
80000,5,0,Bachelors,2,2-5 Miles,71,1
110000,3,4,Bachelors,4,5-10 Miles,70,0
120000,4,4,Bachelors,4,5-10 Miles,69,1
80000,5,0,Partial College,2,2-5 Miles,68,0
100000,2,3,Bachelors,4,10+ Miles,69,0
130000,4,4,Partial College,4,5-10 Miles,69,1
80000,4,2,Partial College,1,10+ Miles,61,0
80000,4,2,Partial College,2,10+ Miles,62,0
90000,3,2,Partial College,1,10+ Miles,61,1
100000,3,4,High School,3,10+ Miles,61,0
100000,3,4,High School,3,2-5 Miles,61,0
120000,3,5,Bachelors,3,10+ Miles,62,0
130000,4,5,Partial College,2,10+ Miles,62,1
170000,0,5,Bachelors,3,10+ Miles,62,1
90000,4,1,High School,2,10+ Miles,63,0
170000,4,5,Partial College,3,10+ Miles,62,1
170000,4,5,Partial College,4,10+ Miles,63,1
80000,4,1,High School,3,10+ Miles,63,0
90000,4,1,High School,3,5-10 Miles,65,1
90000,4,1,High School,3,10+ Miles,65,0
130000,4,5,High School,4,10+ Miles,65,0
150000,4,5,Bachelors,3,0-1 Miles,65,1
160000,2,5,Partial College,3,10+ Miles,64,0
80000,5,1,High School,3,5-10 Miles,66,1
90000,4,1,High School,3,10+ Miles,66,0
110000,4,5,High School,3,10+ Miles,66,1
170000,0,5,High School,4,0-1 Miles,66,1
80000,5,1,High School,4,10+ Miles,67,0
80000,5,1,Partial High School,4,10+ Miles,67,0
80000,5,1,Partial High School,4,10+ Miles,68,0
90000,5,0,Partial High School,2,5-10 Miles,68,0
90000,5,0,Partial High School,2,10+ Miles,68,0
130000,5,5,Partial College,4,0-1 Miles,68,0
60000,0,0,Bachelors,4,10+ Miles,39,0
60000,0,0,Bachelors,4,2-5 Miles,40,0
70000,0,0,Bachelors,2,10+ Miles,38,1
70000,0,0,Bachelors,2,10+ Miles,39,1
70000,0,0,Bachelors,3,10+ Miles,39,1
70000,0,0,Bachelors,3,10+ Miles,40,1
70000,0,0,Bachelors,3,10+ Miles,41,1
80000,0,0,Bachelors,3,10+ Miles,39,0
80000,0,0,Bachelors,3,10+ Miles,40,1
90000,0,0,Bachelors,2,10+ Miles,40,1
80000,0,0,Bachelors,3,10+ Miles,41,1
90000,0,0,Bachelors,2,10+ Miles,41,1
100000,0,5,High School,2,10+ Miles,40,1
130000,4,5,High School,4,0-1 Miles,40,0
100000,0,5,High School,2,10+ Miles,41,0
80000,0,0,Bachelors,3,10+ Miles,43,1
80000,0,0,Bachelors,3,10+ Miles,43,1
100000,0,5,High School,2,10+ Miles,42,0
120000,5,5,Partial High School,4,10+ Miles,42,1
120000,0,5,Partial High School,4,10+ Miles,42,1
90000,0,0,Bachelors,3,10+ Miles,43,1
90000,0,0,Bachelors,3,10+ Miles,42,1
90000,0,0,Bachelors,3,10+ Miles,43,1
90000,0,0,Bachelors,3,10+ Miles,43,1
90000,0,0,Bachelors,3,10+ Miles,42,1
100000,0,5,High School,2,10+ Miles,43,0
100000,0,5,High School,3,10+ Miles,43,0
80000,0,0,Bachelors,4,10+ Miles,44,0
80000,0,0,Bachelors,4,10+ Miles,44,1
120000,0,5,Partial High School,4,10+ Miles,43,1
90000,0,0,Bachelors,4,10+ Miles,44,0
100000,0,5,High School,4,10+ Miles,44,0
90000,0,0,Bachelors,4,10+ Miles,45,0
110000,0,5,High School,4,10+ Miles,45,1
120000,0,5,Partial High School,4,10+ Miles,45,1
110000,0,5,Partial High School,4,10+ Miles,44,1
110000,0,5,Partial High School,4,10+ Miles,43,1
110000,0,5,Partial High School,4,10+ Miles,44,1
110000,0,5,Partial High School,4,10+ Miles,44,1
120000,0,5,Partial High School,4,10+ Miles,44,0
150000,0,5,Bachelors,4,0-1 Miles,46,1
160000,0,5,Bachelors,4,0-1 Miles,46,1
70000,5,0,Graduate Degree,2,10+ Miles,73,1
90000,5,0,Bachelors,2,5-10 Miles,74,0
130000,2,3,Bachelors,4,0-1 Miles,74,1
170000,2,3,Graduate Degree,2,0-1 Miles,74,1
20000,0,0,Partial High School,2,1-2 Miles,42,1
20000,0,0,Partial High School,2,0-1 Miles,42,1
20000,0,0,Partial High School,2,1-2 Miles,42,1
30000,0,0,Partial College,1,2-5 Miles,42,0
60000,3,2,Bachelors,2,5-10 Miles,52,0
30000,0,0,Partial College,1,2-5 Miles,41,0
30000,0,0,Partial College,1,0-1 Miles,41,1
30000,0,0,Partial College,1,2-5 Miles,40,0
30000,0,0,Partial College,1,0-1 Miles,40,0
30000,0,0,Partial College,1,0-1 Miles,40,0
30000,0,0,Partial College,1,1-2 Miles,41,0
20000,0,0,Partial High School,2,0-1 Miles,35,0
20000,0,0,Partial High School,2,0-1 Miles,34,0
20000,0,0,Partial High School,2,1-2 Miles,35,0
10000,4,0,Partial High School,2,1-2 Miles,105,0
20000,0,0,Partial High School,2,0-1 Miles,35,0
20000,0,0,Partial High School,2,1-2 Miles,35,0
30000,0,0,Partial College,1,1-2 Miles,36,0
30000,0,0,Partial College,1,2-5 Miles,36,0
30000,0,0,High School,1,2-5 Miles,36,0
30000,0,0,High School,1,1-2 Miles,41,0
10000,0,0,Partial High School,2,1-2 Miles,43,0
10000,0,0,Partial High School,2,0-1 Miles,43,0
10000,0,0,Partial High School,2,1-2 Miles,42,0
20000,0,0,Partial High School,2,1-2 Miles,42,1
20000,0,0,Partial High School,2,1-2 Miles,43,1
30000,0,0,High School,1,2-5 Miles,42,0
40000,1,1,Bachelors,0,1-2 Miles,42,1
40000,1,1,Bachelors,1,1-2 Miles,41,0
30000,0,0,High School,1,2-5 Miles,42,0
30000,0,0,High School,1,2-5 Miles,43,0
40000,2,2,Partial College,0,0-1 Miles,42,1
40000,2,2,Partial College,0,0-1 Miles,42,0
40000,2,2,Partial College,0,0-1 Miles,42,0
40000,2,2,Partial College,0,1-2 Miles,43,1
10000,0,0,Partial High School,2,0-1 Miles,44,0
20000,0,0,Partial High School,2,1-2 Miles,43,1
30000,0,0,High School,1,2-5 Miles,44,0
30000,0,0,High School,1,1-2 Miles,44,1
40000,2,2,Partial College,0,1-2 Miles,45,1
40000,2,2,Partial College,0,0-1 Miles,44,0
40000,2,2,Partial College,0,0-1 Miles,44,0
40000,2,2,Partial College,1,1-2 Miles,44,0
40000,2,2,Partial College,2,0-1 Miles,45,1
40000,3,3,Partial College,0,1-2 Miles,39,1
40000,3,3,Partial College,1,1-2 Miles,40,1
40000,3,3,Partial College,2,1-2 Miles,40,0
30000,1,0,Bachelors,1,2-5 Miles,85,0
40000,1,0,Graduate Degree,1,1-2 Miles,84,0
60000,0,0,Graduate Degree,0,1-2 Miles,49,0
60000,0,0,Graduate Degree,0,1-2 Miles,49,1
30000,1,0,Bachelors,1,5-10 Miles,61,1
30000,1,0,Bachelors,1,2-5 Miles,62,1
30000,1,0,Partial College,1,5-10 Miles,62,1
20000,2,0,Partial High School,2,0-1 Miles,61,1
20000,3,0,Partial High School,2,1-2 Miles,61,1
30000,1,0,High School,1,5-10 Miles,60,0
30000,1,0,High School,1,2-5 Miles,61,1
40000,1,0,Partial College,1,0-1 Miles,60,1
40000,1,0,Partial College,1,1-2 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,60,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,1-2 Miles,60,1
40000,1,0,Partial College,1,1-2 Miles,60,0
80000,5,0,Graduate Degree,0,0-1 Miles,60,0
40000,1,0,Partial College,1,1-2 Miles,59,1
40000,1,0,Partial College,1,1-2 Miles,59,0
40000,1,0,Partial College,1,1-2 Miles,59,1
40000,1,0,Partial College,1,1-2 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,0-1 Miles,59,1
40000,1,0,Partial College,1,1-2 Miles,59,1
40000,1,0,Partial College,1,1-2 Miles,59,0
70000,5,0,Graduate Degree,0,1-2 Miles,58,0
40000,1,0,Partial College,1,1-2 Miles,58,0
40000,1,0,Partial College,1,0-1 Miles,58,1
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
60000,4,0,Graduate Degree,0,0-1 Miles,56,0
60000,4,0,Graduate Degree,0,0-1 Miles,57,0
60000,4,0,Graduate Degree,0,1-2 Miles,57,0
60000,4,0,Graduate Degree,0,1-2 Miles,55,0
60000,4,0,Graduate Degree,0,0-1 Miles,56,0
60000,4,0,Graduate Degree,0,0-1 Miles,56,0
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
20000,1,1,Partial College,1,2-5 Miles,47,0
30000,1,0,Bachelors,0,1-2 Miles,47,0
30000,1,0,Bachelors,0,0-1 Miles,47,0
30000,1,0,Bachelors,0,1-2 Miles,47,0
30000,1,0,Bachelors,0,1-2 Miles,47,0
30000,1,0,Bachelors,0,0-1 Miles,47,0
30000,1,1,Bachelors,0,1-2 Miles,47,1
40000,0,0,Graduate Degree,0,0-1 Miles,47,1
40000,0,0,Graduate Degree,0,0-1 Miles,47,1
40000,0,0,Graduate Degree,0,0-1 Miles,47,1
40000,0,0,Bachelors,0,0-1 Miles,47,1
20000,1,1,Partial College,1,2-5 Miles,47,0
30000,1,0,Bachelors,1,0-1 Miles,89,0
20000,1,1,Partial College,1,0-1 Miles,48,0
20000,1,1,High School,1,2-5 Miles,48,0
30000,1,1,Bachelors,0,2-5 Miles,47,1
30000,1,1,Bachelors,0,0-1 Miles,48,0
30000,1,1,Bachelors,1,2-5 Miles,48,0
10000,5,4,Partial High School,2,0-1 Miles,49,1
10000,5,4,Partial High School,2,0-1 Miles,49,1
20000,1,1,High School,1,2-5 Miles,49,0
20000,2,2,High School,0,0-1 Miles,49,1
20000,2,2,High School,0,0-1 Miles,49,1
40000,0,0,Bachelors,0,0-1 Miles,48,0
40000,0,0,Bachelors,0,0-1 Miles,48,0
10000,4,0,High School,2,0-1 Miles,87,0
30000,1,1,Bachelors,1,1-2 Miles,49,0
30000,1,1,Bachelors,1,1-2 Miles,49,1
10000,5,3,Partial High School,2,0-1 Miles,50,1
20000,2,2,High School,1,0-1 Miles,50,1
10000,5,2,Partial High School,1,0-1 Miles,51,0
20000,2,2,High School,2,0-1 Miles,51,1
20000,3,3,High School,0,0-1 Miles,50,1
20000,3,3,High School,0,0-1 Miles,51,0
20000,3,3,High School,0,0-1 Miles,51,0
20000,3,3,High School,1,0-1 Miles,51,1
30000,1,1,Bachelors,2,0-1 Miles,51,1
10000,3,2,Partial High School,2,0-1 Miles,51,0
20000,3,3,High School,2,0-1 Miles,52,0
20000,2,0,Partial College,1,1-2 Miles,81,0
40000,0,0,Bachelors,0,0-1 Miles,49,0
60000,0,0,Graduate Degree,0,0-1 Miles,49,1
40000,1,0,Graduate Degree,0,0-1 Miles,81,0
30000,2,2,Partial College,1,0-1 Miles,50,1
30000,2,2,Partial College,1,0-1 Miles,50,0
30000,2,2,Partial College,1,0-1 Miles,50,1
40000,1,0,Bachelors,0,0-1 Miles,50,0
40000,1,0,Bachelors,0,0-1 Miles,49,0
30000,2,2,Partial College,2,0-1 Miles,51,1
40000,1,0,Bachelors,0,0-1 Miles,51,0
40000,1,0,Bachelors,0,0-1 Miles,50,0
30000,2,2,Partial College,2,0-1 Miles,52,1
20000,0,0,High School,1,1-2 Miles,38,1
20000,4,4,High School,2,0-1 Miles,35,0
30000,3,3,Partial College,1,0-1 Miles,36,1
40000,1,0,Bachelors,0,0-1 Miles,52,1
40000,1,0,Bachelors,0,0-1 Miles,52,1
40000,1,0,Bachelors,0,0-1 Miles,52,1
40000,1,0,Bachelors,0,0-1 Miles,52,1
40000,1,0,Bachelors,0,0-1 Miles,52,1
30000,1,0,Partial College,1,2-5 Miles,53,1
30000,1,0,Partial College,1,2-5 Miles,53,1
40000,1,0,Bachelors,1,0-1 Miles,53,1
40000,1,0,Bachelors,1,0-1 Miles,53,1
30000,3,3,Partial College,2,0-1 Miles,37,0
30000,4,4,Partial College,1,0-1 Miles,37,1
30000,4,4,Partial College,2,0-1 Miles,37,0
20000,0,0,High School,1,2-5 Miles,39,0
10000,0,0,Partial High School,2,0-1 Miles,40,1
10000,0,0,Partial High School,2,0-1 Miles,40,1
20000,0,0,High School,1,5-10 Miles,40,0
20000,0,0,High School,1,2-5 Miles,39,0
20000,0,0,Partial High School,1,5-10 Miles,38,0
30000,0,0,Partial College,1,2-5 Miles,38,0
30000,0,0,Partial College,1,0-1 Miles,40,0
20000,0,0,Partial High School,2,0-1 Miles,40,1
20000,0,0,Partial High School,2,0-1 Miles,41,1
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
60000,4,0,Graduate Degree,0,1-2 Miles,56,0
40000,4,4,High School,3,10+ Miles,42,0
40000,0,0,Graduate Degree,0,0-1 Miles,43,0
50000,0,0,Graduate Degree,0,1-2 Miles,42,0
50000,1,0,Graduate Degree,0,0-1 Miles,41,1
50000,1,0,Graduate Degree,0,0-1 Miles,42,1
60000,1,0,Graduate Degree,0,1-2 Miles,43,1
60000,1,0,Graduate Degree,0,1-2 Miles,44,1
60000,1,0,Graduate Degree,0,0-1 Miles,44,1
60000,1,0,Graduate Degree,0,1-2 Miles,43,1
60000,1,1,Graduate Degree,0,1-2 Miles,44,0
60000,1,1,Graduate Degree,0,1-2 Miles,43,0
60000,1,1,Graduate Degree,0,1-2 Miles,43,0
60000,1,1,Graduate Degree,0,0-1 Miles,44,0
60000,1,1,Graduate Degree,0,0-1 Miles,44,0
40000,1,1,Graduate Degree,0,1-2 Miles,43,0
70000,2,0,Graduate Degree,0,2-5 Miles,43,0
70000,2,0,Graduate Degree,0,0-1 Miles,43,0
50000,1,1,Bachelors,0,0-1 Miles,45,0
50000,1,1,Bachelors,0,0-1 Miles,45,0
50000,1,1,Bachelors,0,0-1 Miles,45,0
50000,1,1,Bachelors,0,2-5 Miles,45,1
50000,1,1,Bachelors,1,2-5 Miles,45,0
60000,1,0,Graduate Degree,0,2-5 Miles,45,0
50000,2,2,Bachelors,0,2-5 Miles,46,1
50000,2,2,Bachelors,0,2-5 Miles,46,1
50000,2,2,Bachelors,0,2-5 Miles,45,1
50000,2,2,Bachelors,0,2-5 Miles,46,1
60000,1,0,Graduate Degree,0,0-1 Miles,46,0
60000,1,0,Graduate Degree,0,2-5 Miles,44,0
60000,1,0,Graduate Degree,0,0-1 Miles,43,0
60000,1,0,Graduate Degree,0,2-5 Miles,44,0
60000,1,0,Graduate Degree,0,2-5 Miles,44,0
60000,1,0,Graduate Degree,0,0-1 Miles,44,0
60000,1,0,Graduate Degree,0,2-5 Miles,45,0
40000,4,4,High School,3,10+ Miles,47,1
60000,2,2,Bachelors,0,2-5 Miles,47,1
40000,0,0,Bachelors,1,0-1 Miles,48,1
40000,0,0,Bachelors,1,2-5 Miles,48,1
60000,1,0,Graduate Degree,0,2-5 Miles,45,0
70000,4,0,Graduate Degree,0,0-1 Miles,45,1
80000,2,0,Graduate Degree,0,0-1 Miles,45,1
70000,2,2,Bachelors,1,0-1 Miles,48,0
70000,2,2,Bachelors,1,0-1 Miles,47,0
60000,3,3,Bachelors,0,0-1 Miles,49,1
60000,3,3,Bachelors,0,2-5 Miles,49,1
60000,3,3,Bachelors,0,2-5 Miles,49,1
60000,3,3,Bachelors,0,2-5 Miles,48,0
60000,0,0,Graduate Degree,0,2-5 Miles,49,0
70000,4,0,Graduate Degree,0,0-1 Miles,49,1
70000,4,0,Graduate Degree,0,2-5 Miles,49,0
60000,2,0,Graduate Degree,0,0-1 Miles,45,0
70000,5,0,Graduate Degree,0,0-1 Miles,46,1
70000,5,0,Graduate Degree,0,2-5 Miles,46,1
70000,5,5,Graduate Degree,2,2-5 Miles,45,0
70000,5,5,Graduate Degree,3,10+ Miles,45,0
70000,5,5,Graduate Degree,3,10+ Miles,46,0
80000,3,0,Graduate Degree,0,0-1 Miles,45,1
80000,3,0,Graduate Degree,0,0-1 Miles,46,1
40000,0,0,Bachelors,1,2-5 Miles,50,0
40000,0,0,Bachelors,1,0-1 Miles,50,0
40000,0,0,Bachelors,1,0-1 Miles,50,0
80000,3,3,Bachelors,1,2-5 Miles,50,0
80000,3,3,Bachelors,2,2-5 Miles,50,0
80000,3,3,Bachelors,2,2-5 Miles,50,1
80000,3,3,Bachelors,2,2-5 Miles,49,1
80000,3,3,Bachelors,3,10+ Miles,50,0
80000,4,4,Bachelors,0,2-5 Miles,50,0
60000,0,0,Graduate Degree,1,2-5 Miles,50,0
60000,0,0,Graduate Degree,1,2-5 Miles,49,0
40000,0,0,Bachelors,1,2-5 Miles,51,1
50000,5,5,Bachelors,2,2-5 Miles,50,0
50000,5,5,Bachelors,3,5-10 Miles,50,1
50000,5,5,Bachelors,3,5-10 Miles,50,1
40000,0,0,Bachelors,1,0-1 Miles,51,0
60000,0,0,Bachelors,1,0-1 Miles,46,0
60000,3,2,Graduate Degree,0,2-5 Miles,51,0
70000,1,0,Bachelors,1,0-1 Miles,53,0
70000,1,0,Bachelors,1,2-5 Miles,53,0
70000,1,0,Bachelors,1,2-5 Miles,53,0
70000,1,0,Bachelors,1,0-1 Miles,53,0
70000,1,0,Bachelors,1,2-5 Miles,53,0
70000,1,0,Bachelors,1,2-5 Miles,53,0
70000,1,0,Bachelors,1,2-5 Miles,52,0
70000,1,0,Partial College,1,2-5 Miles,53,0
70000,1,0,Partial College,1,0-1 Miles,53,0
70000,1,0,Partial College,1,2-5 Miles,52,0
70000,1,0,Partial College,1,0-1 Miles,53,0
40000,4,3,High School,3,10+ Miles,53,0
40000,4,3,High School,3,10+ Miles,54,0
40000,4,2,High School,2,0-1 Miles,54,0
60000,1,0,Partial College,1,0-1 Miles,53,0
40000,4,2,High School,2,0-1 Miles,55,0
40000,4,2,High School,2,2-5 Miles,55,0
40000,0,0,Bachelors,1,0-1 Miles,55,0
70000,0,0,Partial College,1,0-1 Miles,48,0
70000,0,0,Partial College,1,2-5 Miles,48,0
60000,0,0,Graduate Degree,1,2-5 Miles,48,0
60000,0,0,Graduate Degree,1,0-1 Miles,48,1
60000,0,0,Graduate Degree,1,2-5 Miles,48,0
60000,0,0,Graduate Degree,1,2-5 Miles,48,0
20000,3,0,High School,2,0-1 Miles,86,0
60000,1,0,Partial College,1,2-5 Miles,55,0
80000,2,0,Graduate Degree,0,0-1 Miles,56,1
80000,3,0,Graduate Degree,0,0-1 Miles,56,1
80000,1,0,Partial College,1,2-5 Miles,57,0
60000,1,0,Bachelors,1,2-5 Miles,56,0
60000,1,0,Bachelors,1,2-5 Miles,57,0
70000,5,4,Graduate Degree,0,2-5 Miles,57,0
80000,5,0,Graduate Degree,0,0-1 Miles,57,1
90000,1,0,Graduate Degree,0,0-1 Miles,46,1
90000,1,0,Graduate Degree,0,0-1 Miles,46,1
100000,1,0,Graduate Degree,0,0-1 Miles,45,1
100000,1,0,Graduate Degree,0,0-1 Miles,45,1
60000,2,2,Bachelors,1,0-1 Miles,47,1
60000,2,2,Bachelors,1,2-5 Miles,46,0
60000,2,2,Bachelors,1,2-5 Miles,46,0
80000,4,4,Graduate Degree,1,0-1 Miles,45,1
80000,5,5,Graduate Degree,2,0-1 Miles,45,1
90000,2,0,Bachelors,0,1-2 Miles,45,1
60000,2,2,Bachelors,1,2-5 Miles,47,0
60000,2,2,Bachelors,1,0-1 Miles,47,1
70000,5,5,Bachelors,3,10+ Miles,48,1
110000,1,0,Graduate Degree,1,5-10 Miles,45,1
130000,1,0,Graduate Degree,1,0-1 Miles,46,1
80000,5,5,Graduate Degree,2,0-1 Miles,48,0
80000,5,5,Graduate Degree,2,0-1 Miles,48,0
80000,5,5,Graduate Degree,2,0-1 Miles,48,0
80000,5,5,Graduate Degree,3,0-1 Miles,49,0
90000,0,0,Bachelors,0,2-5 Miles,49,1
60000,2,2,Bachelors,1,0-1 Miles,49,1
60000,3,3,Bachelors,1,0-1 Miles,50,0
60000,3,3,Bachelors,1,5-10 Miles,50,0
60000,3,3,Bachelors,2,5-10 Miles,50,1
70000,0,0,Bachelors,1,0-1 Miles,50,1
70000,0,0,Bachelors,1,0-1 Miles,49,1
60000,4,4,Bachelors,1,0-1 Miles,50,0
100000,2,0,Bachelors,2,0-1 Miles,47,0
100000,2,0,Bachelors,3,1-2 Miles,47,0
110000,1,1,Graduate Degree,2,1-2 Miles,47,1
30000,0,0,Partial College,1,5-10 Miles,36,0
10000,5,0,High School,4,5-10 Miles,70,1
60000,0,0,Partial College,1,5-10 Miles,36,1
10000,2,1,Partial High School,2,5-10 Miles,70,1
30000,2,0,Partial College,2,5-10 Miles,69,1
10000,2,1,Partial High School,2,5-10 Miles,68,1
20000,4,0,High School,2,5-10 Miles,68,0
30000,2,0,Partial College,2,5-10 Miles,68,1
30000,2,0,Partial College,2,1-2 Miles,67,1
10000,2,1,Partial High School,2,5-10 Miles,67,0
40000,0,0,Partial High School,2,5-10 Miles,37,1
30000,0,0,Partial College,1,5-10 Miles,37,0
30000,0,0,Partial College,1,1-2 Miles,38,1
60000,0,0,Partial College,2,5-10 Miles,38,0
60000,0,0,Partial College,2,1-2 Miles,38,0
70000,0,0,Partial College,2,5-10 Miles,38,1
60000,0,0,Partial College,2,1-2 Miles,38,0
20000,2,1,Partial High School,2,5-10 Miles,66,0
30000,3,0,Partial College,2,5-10 Miles,64,1
30000,3,0,Partial College,2,5-10 Miles,65,1
30000,3,0,High School,2,1-2 Miles,65,0
